runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
17,1,27029,FitnessBad0,Greedy,13,45,true,false,false
17,1,41779,FitnessBad0,Greedy,14,51,true,false,false
17,1,78073,FitnessBad0,Greedy,15,56,true,false,false
17,1,88278,FitnessBad0,Greedy,16,60,true,false,false
18,1,8,FitnessBad0,Greedy,8,19,true,false,false
18,1,221,FitnessBad0,Greedy,9,25,true,false,false
18,0,1864,FitnessBad0,Greedy,10,29,true,false,false
18,1,6998,FitnessBad0,Greedy,11,35,true,false,false
18,1,8874,FitnessBad0,Greedy,12,39,true,false,false
18,1,27436,FitnessBad0,Greedy,13,45,true,false,false
18,1,41578,FitnessBad0,Greedy,14,51,true,false,false
18,1,77881,FitnessBad0,Greedy,15,56,true,false,false
18,1,88449,FitnessBad0,Greedy,16,60,true,false,false
19,1,7,FitnessBad0,Greedy,8,19,true,false,false
19,1,211,FitnessBad0,Greedy,9,25,true,false,false
19,0,1835,FitnessBad0,Greedy,10,29,true,false,false
19,1,6915,FitnessBad0,Greedy,11,35,true,false,false
19,1,8851,FitnessBad0,Greedy,12,39,true,false,false
19,1,27594,FitnessBad0,Greedy,13,45,true,false,false
19,1,41385,FitnessBad0,Greedy,14,51,true,false,false
19,1,77859,FitnessBad0,Greedy,15,56,true,false,false
19,1,88021,FitnessBad0,Greedy,16,60,true,false,false
20,1,7,FitnessBad0,Greedy,8,19,true,false,false
20,1,213,FitnessBad0,Greedy,9,25,true,false,false
20,0,1833,FitnessBad0,Greedy,10,29,true,false,false
20,1,6814,FitnessBad0,Greedy,11,35,true,false,false
20,1,8945,FitnessBad0,Greedy,12,39,true,false,false
20,1,27167,FitnessBad0,Greedy,13,45,true,false,false
20,1,41320,FitnessBad0,Greedy,14,51,true,false,false
20,1,77929,FitnessBad0,Greedy,15,56,true,false,false
20,1,86955,FitnessBad0,Greedy,16,60,true,false,false
21,1,8,FitnessBad0,Greedy,8,19,true,false,false
21,1,218,FitnessBad0,Greedy,9,25,true,false,false
21,0,1814,FitnessBad0,Greedy,10,29,true,false,false
21,1,6993,FitnessBad0,Greedy,11,35,true,false,false
21,1,8714,FitnessBad0,Greedy,12,39,true,false,false
21,1,27335,FitnessBad0,Greedy,13,45,true,false,false
21,1,41864,FitnessBad0,Greedy,14,51,true,false,false
21,1,78109,FitnessBad0,Greedy,15,56,true,false,false
